date,daily_dc_power,daily_ac_power,avg_irradiation,avg_temperature
2020-05-23,501823.294761905,490450.5104761905,0.29333313091887814,30.64959897159961
2020-05-24,479293.53714285727,468609.43904761906,0.285687961411605,30.805943188976713
2020-06-04,474970.4071428572,464789.51809523825,0.2102372842208977,26.30493927300475
2020-06-05,518707.51476190495,507337.9133333335,0.23298544084746592,27.08235502179119
2020-06-17,380211.24047619046,372436.317142857,0.12438296682989906,24.852174461143747
2020-06-12,411233.8628571429,402905.01904761896,0.1364892265797967,24.683421539523522
2020-05-17,556236.918205128,544393.0209157505,0.22118328183149763,29.78010946263838
2020-05-30,614530.6047619053,600856.5266666661,0.2481978900580523,29.548670317541564
2020-06-15,410998.90952380945,402322.124285714,0.18505256895675612,26.55759112349138
2020-05-25,582787.339047619,569576.2580952382,0.2766346367565043,30.8184287573156
2020-05-19,443495.847014652,433554.72264652024,0.22158269969125827,26.599224703287526
2020-06-10,393589.7703896103,385086.4098701298,0.1935033620292932,27.33461143440443
2020-05-21,494112.2600000001,483021.3642857144,0.2832415091200764,29.05546056449952
2020-05-27,445436.7487912089,435466.1647619046,0.2857493606650956,30.400937587775374
2020-06-16,480810.06857142836,470830.4271428572,0.16506163204109964,26.369897159989975
2020-06-09,554027.0890476184,541913.6352380953,0.24831275735101266,28.12693156963596
2020-06-07,473278.93190476194,462528.8090476191,0.2607806750481722,27.8557637194923
2020-06-06,527117.0547619045,515131.85761904716,0.2704556325702953,27.801298082147973
2020-06-08,604333.8646520148,590644.6226373625,0.28165045805990185,28.493347079215763
2020-05-16,566839.8399999997,554253.4604761906,0.2466309671915659,29.478612107614943
2020-06-14,505911.45190476184,495073.50333333324,0.2295169814691817,27.019790044648005
2020-05-20,352374.3788095238,344661.40619047626,0.2560320462881232,28.84708806557764
2020-06-11,342752.8541391942,335847.8221611724,0.11747877188181827,25.52091109061386
2020-05-28,499034.03300366306,487742.876043956,0.29309402937758855,30.130057124837396
2020-06-13,455305.7904761904,445507.7642857144,0.21552264113815806,26.116937044037346
2020-06-03,414845.1661904763,406045.0761904762,0.17489092600902337,26.134205705930622
2020-05-29,496059.2485814186,485377.11535131535,0.23255621444341035,30.208164942946134
2020-05-31,556847.645238095,544366.1414285717,0.20004125094792016,28.45127654481564
2020-06-02,519491.9647619048,508269.6057142858,0.247381441450996,27.1024053161877
2020-05-15,666607.6309523813,651437.7366666666,0.3006216333730598,30.565992403922117
2020-05-26,576620.0909523808,563483.232857143,0.2836945200973928,30.027993210704
2020-06-01,372058.9845970695,363681.303021978,0.14137119928654218,25.507044807331628
2020-05-22,498711.3276190477,487411.9411355313,0.29724836516460484,29.648565752693955
2020-05-18,530773.6771428573,519012.5652380953,0.22391437826798596,27.336693981812697
